x		F(x)
-1.0000	-0.6415
-0.9000	-0.6033
-0.8000	-0.5574
-0.7000	-0.5042
-0.6000	-0.4446
-0.5000	-0.3794
-0.4000	-0.3094
-0.3000	-0.2355
-0.2000	-0.1587
-0.1000	-0.0798
-0.0000	-0.0000
0.1000	0.0798
0.2000	0.1587
0.3000	0.2355
0.4000	0.3094
0.5000	0.3794
0.6000	0.4446
0.7000	0.5042
0.8000	0.5574
0.9000	0.6033
1.0000	0.6415
1.1000	0.6712
1.2000	0.6920
1.3000	0.7036
1.4000	0.7054
1.5000	0.6975
1.6000	0.6796
1.7000	0.6517
1.8000	0.6138
1.9000	0.5663
2.0000	0.5093
2.1000	0.4432
2.2000	0.3685
2.3000	0.2857
2.4000	0.1955
2.5000	0.0985
2.6000	-0.0045
2.7000	-0.1126
2.8000	-0.2250
2.9000	-0.3408
3.0000	-0.4589
3.1000	-0.5784
3.2000	-0.6984
3.3000	-0.8177
3.4000	-0.9355
3.5000	-1.0508
